benchmark_id,test,timestamp_utc,repetition,workload,buffer_bytes,chunk_bytes,operations,seconds,value,unit,status,notes
B03,RAM memcpy bandwidth,2026-08-10T20:47:00.040878+00:00,1,numpy.copyto,536870912,536870912,1,0.03446179999446031,15.578725199679104,GB/s_payload,ok,Payload bandwidth; approximate DRAM traffic is 2x (read plus write).
B03,RAM memcpy bandwidth,2026-08-10T20:47:00.071326+00:00,2,numpy.copyto,536870912,536870912,1,0.030416399997193366,17.650705279044825,GB/s_payload,ok,Payload bandwidth; approximate DRAM traffic is 2x (read plus write).
B03,RAM memcpy bandwidth,2026-08-10T20:47:00.101499+00:00,3,numpy.copyto,536870912,536870912,1,0.030144600008497946,17.809853567426764,GB/s_payload,ok,Payload bandwidth; approximate DRAM traffic is 2x (read plus write).
B03,RAM memcpy bandwidth,2026-08-10T20:47:00.131713+00:00,4,numpy.copyto,536870912,536870912,1,0.03018990000418853,17.78312985221928,GB/s_payload,ok,Payload bandwidth; approximate DRAM traffic is 2x (read plus write).
B03,RAM memcpy bandwidth,2026-08-10T20:47:00.162434+00:00,5,numpy.copyto,536870912,536870912,1,0.030695399997057393,17.49027255065798,GB/s_payload,ok,Payload bandwidth; approximate DRAM traffic is 2x (read plus write).
B03,RAM memcpy bandwidth,2026-08-10T20:47:00.192331+00:00,6,numpy.copyto,536870912,536870912,1,0.029871300008380786,17.97280037525564,GB/s_payload,ok,Payload bandwidth; approximate DRAM traffic is 2x (read plus write).
B03,RAM memcpy bandwidth,2026-08-10T20:47:00.221275+00:00,7,numpy.copyto,536870912,536870912,1,0.02892009999777656,18.56393691727469,GB/s_payload,ok,Payload bandwidth; approximate DRAM traffic is 2x (read plus write).
B04,pageable RAM to VRAM bandwidth,2026-08-10T20:47:00.406791+00:00,,,,,,,,,skipped,PyTorch is not installed for 3.14.4
B05,pinned RAM to VRAM bandwidth,2026-08-10T20:47:00.406802+00:00,,,,,,,,,skipped,PyTorch is not installed for 3.14.4
B06,basic GPU compute and VRAM availability,2026-08-10T20:47:00.406805+00:00,,,,,,,,,skipped,PyTorch is not installed for 3.14.4
B04,pageable RAM to VRAM bandwidth,2026-08-10T21:16:18.232505+00:00,1,torch_tensor_copy,268435456,268435456,1,0.023681503295898437,11.33523715306081,GB/s_payload,ok,pin_memory=False; non_blocking=False; CUDA event timing.
B04,pageable RAM to VRAM bandwidth,2026-08-10T21:16:18.258202+00:00,2,torch_tensor_copy,268435456,268435456,1,0.02552592086791992,10.516190870800678,GB/s_payload,ok,pin_memory=False; non_blocking=False; CUDA event timing.
B04,pageable RAM to VRAM bandwidth,2026-08-10T21:16:18.282971+00:00,3,torch_tensor_copy,268435456,268435456,1,0.024689823150634765,10.872311816988395,GB/s_payload,ok,pin_memory=False; non_blocking=False; CUDA event timing.
B04,pageable RAM to VRAM bandwidth,2026-08-10T21:16:18.308884+00:00,4,torch_tensor_copy,268435456,268435456,1,0.025805631637573243,10.40220444010196,GB/s_payload,ok,pin_memory=False; non_blocking=False; CUDA event timing.
B04,pageable RAM to VRAM bandwidth,2026-08-10T21:16:18.334658+00:00,5,torch_tensor_copy,268435456,268435456,1,0.025697311401367186,10.44605218839035,GB/s_payload,ok,pin_memory=False; non_blocking=False; CUDA event timing.
B04,pageable RAM to VRAM bandwidth,2026-08-10T21:16:18.360020+00:00,6,torch_tensor_copy,268435456,268435456,1,0.025251775741577148,10.63035957340695,GB/s_payload,ok,pin_memory=False; non_blocking=False; CUDA event timing.
B04,pageable RAM to VRAM bandwidth,2026-08-10T21:16:18.383396+00:00,7,torch_tensor_copy,268435456,268435456,1,0.023285823822021483,11.527848791252113,GB/s_payload,ok,pin_memory=False; non_blocking=False; CUDA event timing.
B04,pageable RAM to VRAM bandwidth,2026-08-10T21:16:18.405329+00:00,8,torch_tensor_copy,268435456,268435456,1,0.02187388801574707,12.271958958862392,GB/s_payload,ok,pin_memory=False; non_blocking=False; CUDA event timing.
B04,pageable RAM to VRAM bandwidth,2026-08-10T21:16:18.428705+00:00,9,torch_tensor_copy,268435456,268435456,1,0.02330700874328613,11.517370545344054,GB/s_payload,ok,pin_memory=False; non_blocking=False; CUDA event timing.
B04,pageable RAM to VRAM bandwidth,2026-08-10T21:16:18.452360+00:00,10,torch_tensor_copy,268435456,268435456,1,0.023589855194091798,11.379275277078898,GB/s_payload,ok,pin_memory=False; non_blocking=False; CUDA event timing.
B05,pinned RAM to VRAM bandwidth,2026-08-10T21:16:18.552303+00:00,1,torch_tensor_copy,268435456,268435456,1,0.010389663696289063,25.836780077480146,GB/s_payload,ok,pin_memory=True; non_blocking=True; CUDA event timing.
B05,pinned RAM to VRAM bandwidth,2026-08-10T21:16:18.562778+00:00,2,torch_tensor_copy,268435456,268435456,1,0.010309632301330567,26.037345285860052,GB/s_payload,ok,pin_memory=True; non_blocking=True; CUDA event timing.
B05,pinned RAM to VRAM bandwidth,2026-08-10T21:16:18.573216+00:00,3,torch_tensor_copy,268435456,268435456,1,0.010292384147644043,26.080979115168926,GB/s_payload,ok,pin_memory=True; non_blocking=True; CUDA event timing.
B05,pinned RAM to VRAM bandwidth,2026-08-10T21:16:18.583678+00:00,4,torch_tensor_copy,268435456,268435456,1,0.010301535606384277,26.05780985056633,GB/s_payload,ok,pin_memory=True; non_blocking=True; CUDA event timing.
B05,pinned RAM to VRAM bandwidth,2026-08-10T21:16:18.594568+00:00,5,torch_tensor_copy,268435456,268435456,1,0.010707776069641113,25.0692071121167,GB/s_payload,ok,pin_memory=True; non_blocking=True; CUDA event timing.
B05,pinned RAM to VRAM bandwidth,2026-08-10T21:16:18.605105+00:00,6,torch_tensor_copy,268435456,268435456,1,0.010376288414001464,25.870084300835444,GB/s_payload,ok,pin_memory=True; non_blocking=True; CUDA event timing.
B05,pinned RAM to VRAM bandwidth,2026-08-10T21:16:18.615569+00:00,7,torch_tensor_copy,268435456,268435456,1,0.0102990083694458,26.064204083605844,GB/s_payload,ok,pin_memory=True; non_blocking=True; CUDA event timing.
B05,pinned RAM to VRAM bandwidth,2026-08-10T21:16:18.626011+00:00,8,torch_tensor_copy,268435456,268435456,1,0.01029798412322998,26.066796451401476,GB/s_payload,ok,pin_memory=True; non_blocking=True; CUDA event timing.
B05,pinned RAM to VRAM bandwidth,2026-08-10T21:16:18.636431+00:00,9,torch_tensor_copy,268435456,268435456,1,0.01027295970916748,26.130293858784537,GB/s_payload,ok,pin_memory=True; non_blocking=True; CUDA event timing.
B05,pinned RAM to VRAM bandwidth,2026-08-10T21:16:18.646819+00:00,10,torch_tensor_copy,268435456,268435456,1,0.01025868797302246,26.166645940096014,GB/s_payload,ok,pin_memory=True; non_blocking=True; CUDA event timing.
B06,VRAM available,2026-08-10T21:16:18.647082+00:00,1,NVIDIA GeForce RTX 3070 Ti,8589410304,,,,6.6923828125,GiB_free,ok,total_GiB=8.000; torch=2.13.0+cu126; cuda=12.6
B06,basic GPU FP16 matrix multiply,2026-08-10T21:16:18.814396+00:00,1,torch.mm_4096x4096,,,1,0.004260831832885742,32.256366564675346,TFLOP/s,ok,2*n^3 operation convention; CUDA event timing.
B06,basic GPU FP16 matrix multiply,2026-08-10T21:16:18.817783+00:00,2,torch.mm_4096x4096,,,1,0.0033187839984893798,41.4124430919754,TFLOP/s,ok,2*n^3 operation convention; CUDA event timing.
B06,basic GPU FP16 matrix multiply,2026-08-10T21:16:18.822855+00:00,3,torch.mm_4096x4096,,,1,0.0050135040283203125,27.413751479131957,TFLOP/s,ok,2*n^3 operation convention; CUDA event timing.
B06,basic GPU FP16 matrix multiply,2026-08-10T21:16:18.826845+00:00,4,torch.mm_4096x4096,,,1,0.0039021120071411133,35.22168333981135,TFLOP/s,ok,2*n^3 operation convention; CUDA event timing.
B06,basic GPU FP16 matrix multiply,2026-08-10T21:16:18.830228+00:00,5,torch.mm_4096x4096,,,1,0.0033228800296783447,41.36139500808403,TFLOP/s,ok,2*n^3 operation convention; CUDA event timing.
B06,basic GPU FP16 matrix multiply,2026-08-10T21:16:18.835032+00:00,6,torch.mm_4096x4096,,,1,0.004734975814819336,29.02632639470916,TFLOP/s,ok,2*n^3 operation convention; CUDA event timing.
B06,basic GPU FP16 matrix multiply,2026-08-10T21:16:18.838442+00:00,7,torch.mm_4096x4096,,,1,0.003328000068664551,41.29776160946747,TFLOP/s,ok,2*n^3 operation convention; CUDA event timing.
B06,basic GPU FP16 matrix multiply,2026-08-10T21:16:18.842372+00:00,8,torch.mm_4096x4096,,,1,0.0038696959018707277,35.5167323110733,TFLOP/s,ok,2*n^3 operation convention; CUDA event timing.
B06,basic GPU FP16 matrix multiply,2026-08-10T21:16:18.845744+00:00,9,torch.mm_4096x4096,,,1,0.0033136639595031736,41.47643066758241,TFLOP/s,ok,2*n^3 operation convention; CUDA event timing.
B06,basic GPU FP16 matrix multiply,2026-08-10T21:16:18.850531+00:00,10,torch.mm_4096x4096,,,1,0.004731904029846192,29.045169260642716,TFLOP/s,ok,2*n^3 operation convention; CUDA event timing.
B06,basic GPU FP16 matrix multiply,2026-08-10T21:16:18.855144+00:00,11,torch.mm_4096x4096,,,1,0.004375232219696045,31.41295057512356,TFLOP/s,ok,2*n^3 operation convention; CUDA event timing.
B06,basic GPU FP16 matrix multiply,2026-08-10T21:16:18.858525+00:00,12,torch.mm_4096x4096,,,1,0.0033185598850250246,41.41523981296592,TFLOP/s,ok,2*n^3 operation convention; CUDA event timing.
B06,basic GPU FP16 matrix multiply,2026-08-10T21:16:18.862446+00:00,13,torch.mm_4096x4096,,,1,0.0038727679252624513,35.48855911955685,TFLOP/s,ok,2*n^3 operation convention; CUDA event timing.
B06,basic GPU FP16 matrix multiply,2026-08-10T21:16:18.865791+00:00,14,torch.mm_4096x4096,,,1,0.00328601598739624,41.82540620592151,TFLOP/s,ok,2*n^3 operation convention; CUDA event timing.
B06,basic GPU FP16 matrix multiply,2026-08-10T21:16:18.870538+00:00,15,torch.mm_4096x4096,,,1,0.004682752132415771,29.350038094178824,TFLOP/s,ok,2*n^3 operation convention; CUDA event timing.
B06,basic GPU FP16 matrix multiply,2026-08-10T21:16:18.873963+00:00,16,torch.mm_4096x4096,,,1,0.003318592071533203,41.41483813299856,TFLOP/s,ok,2*n^3 operation convention; CUDA event timing.
B06,basic GPU FP16 matrix multiply,2026-08-10T21:16:18.878121+00:00,17,torch.mm_4096x4096,,,1,0.0040796160697937015,33.689188178668495,TFLOP/s,ok,2*n^3 operation convention; CUDA event timing.
B06,basic GPU FP16 matrix multiply,2026-08-10T21:16:18.881577+00:00,18,torch.mm_4096x4096,,,1,0.003352384090423584,40.997376722019396,TFLOP/s,ok,2*n^3 operation convention; CUDA event timing.
B06,basic GPU FP16 matrix multiply,2026-08-10T21:16:18.886579+00:00,19,torch.mm_4096x4096,,,1,0.004825088024139404,28.484237548498076,TFLOP/s,ok,2*n^3 operation convention; CUDA event timing.
